conversation_id,tag
0,Store Early Closure
1,repeat purchases
2,Stress & Anxiety Supplements
3,Store Staff Service
4,hair products
5,convenient location
6,Positive Customer Feedback on Vitamin B Complex for Energy
7,Store Feedback
8,Store Early Closure
9,Store Early Closure
10,Pricing and Promotions
11,Pricing and Promotions
12,Subscription Order Delay/Backorder
13,App Crashing
14,Fast Delivery Praise
15,Coupon Issues
16,Product Mislabeling/Discrepancy
17,Damaged Protein Powder Orders
18,Order Issues
19,Stress & Anxiety Supplements
20,allergy-sensitive products
21,Vitamin Tablet Ingredients
22,Sales Pressure/Unwanted Purchases
23,Online Ordering Issue
24,"""Out of Stock Inquiry - Relaxing Herbal Blend"""
25,Customer Feedback: Organic Skincare Expansion Request
26,packaging issues
27,Supplement Dosage Clarification
28,Product Recommendations
29,Store Staff Feedback
30,Hair Color Product Availability
31,expiration date issues
32,Order Delays
33,value for money
34,Hair Growth Products
35,Customer Appreciation
36,Coupon Issues
37,Subscribe & Save Omega-3 Backorder
38,Follow-up Issues
39,Product Refunds
40,order not received
41,Incomplete Orders
42,Store Early Closure
43,Transparency Issues
44,Joint Supplements
45,Order Cancellation
46,Order Issues
47,long wait times
48,Customer Appreciation
49,store display
50,Order Delays
51,Pricing and Promotions
52,Delivery Address Update
53,Rewards Points Issues
54,Order Issues
55,Positive Recommendations
56,Voucher Issues
57,Hair Growth Supplements and Complementary Products
58,online ordering
59,Order Delays
60,promotion and offers
61,Store Staff Feedback
62,incorrect orders
63,Pricing Issues
64,Card Payment Issues
65,Damaged Orders
66,Store Staff Feedback
67,health products
68,Misleading Product Information Leading to Order Refund
69,Omega-3 Supplement Nutritional Information Inquiry
70,Customer Complaints
71,Pricing issues
72,promotion and offers
73,Order Cancellation
74,Order Collection Issues
75,Delivery Address Update
76,incomplete orders
77,Coupon Issues
78,Follow-up Issues
79,organic products
80,Delivery Address Update
81,Order Fulfillment Issue
82,Missing Online Nutritional Information
83,Order Collection Issues
84,Nutritional Information Inaccuracy
85,accurate product information
86,Product Recommendations
87,Expired Products
88,Damaged Bottles
89,in-store issues
90,BCAA Supplement Inquiry
91,Positive Staff Feedback
92,Rewards Points Issues
93,Payment Issues
94,Vegan Vitamin & Mineral Supplement Recommendation
95,International Shipping Delay
96,Order Delays
97,Positive Staff Feedback
98,Expert Guidance
99,product effectiveness
100,promotions and offers
101,Store Staff Feedback
102,Rewards Points Issues
103,discount appreciation
104,Poor Store Service
105,Voucher Redemption Issues
106,Discount Appreciation and Herbal Tea Customer Feedback
107,App Account Issues
108,promotions and offers
109,BOGO Confusion
110,Sports Nutrition Product Inquiry
111,Positive Customer Feedback
112,Order Issues
113,Digestive Health Product Inquiry
114,order status updates
115,Order Refunds
116,inconsistent experience
117,Protein Powder Recommendations
118,Order Confirmation Issues
119,Damaged Protein Powder Orders
120,Positive Staff Feedback
121,Vegan snacks
122,Order Tracking
123,Order Delays & Communication Issues
124,Complaint Resolution
125,trustworthy products
126,Product Authenticity Verification
127,Order not received
128,complaint resolution
129,miscommunication
130,Order Refunds
131,discrimination
132,accurate product information
133,Positive Staff Feedback
134,customer value
135,Vitamin D Deficiency & Supplementation
136,Coupon Issues
137,Positive Feedback
138,Payment Issues
139,Customer Feedback
140,Discount Appreciation
141,delivery issues
142,Product Ingredients
143,Customer Complaints
144,store stock availability
145,Gluten-Free Product Issues
146,long wait times
147,long wait times
148,online ordering
149,Order Delays & Communication Issues
150,Replacement requests
151,Menopause Advice
152,discontinued products
153,Rewards Points Issues
154,International Shipping Delay
155,Rewards Points Issues
156,Incorrect Orders
157,Turmeric Capsule Ingredients
158,staff knowledge
159,inconsistent experience
160,order tracking
161,Login Issues
162,Damaged Bottles
163,Order Collection Issues
164,Store Staff Service
165,Order Delays
166,Herbal Tea Customer Feedback
167,BOGO Confusion
168,Product Refunds
169,Rewards Points Issues
170,Product Availability
171,Store Feedback
172,online ordering
173,Damaged Orders
174,Menopause Supplements
175,Stress & Anxiety Supplements
176,Order Cancellation
177,Returning Unopened Items
178,Returning Unopened Items
179,Product Refunds due to Allergic Reaction
180,regular customer
181,Store Early Closure
182,Communication Issues
183,Hair Growth Supplements
184,Damaged Orders
185,Store Feedback
186,Order Issues
187,Sales Pressure/Unwanted Purchases
188,Order Delays
189,incorrect orders
190,inconsistent policies
191,health concerns
192,Inaccurate Product Description
193,Customer Complaints
194,Customer Complaints
195,Order cancellation
196,Coupon Issues
197,Gratitude
198,Expert Guidance
199,Order Collection Issues
200,expiration date issues
201,Order Delays on Repeat Purchase
202,promotions and offers
203,Customer Appreciation
204,app/website usability issues
205,Delivery Address Update
206,Customer Appreciation
207,customer service feedback
208,Delayed Delivery/Order Issue
209,Delivery Address Update
210,follow-up issues
211,Reduced Product Quantity Without Notice
212,store display
213,in-store issues
214,Order Delays & Communication Issues
215,Payment Issues
216,Transparency Issues
217,Product Refunds: Allergic Reaction to Miaroma Sleep Mist
218,Positive Feedback
219,Rewards Points Issues
220,Inconsistent Experience
221,Discrimination
222,Order Delays
223,Skincare Order Status
224,Positive Staff Feedback
225,Order Status Updates
226,Delivery Address Update
227,packaging issues
228,Store Staff Feedback
229,Damaged Orders
230,click and collect
231,international shipping
232,Order Cancellation
233,Gluten-Free Product Issues
234,Order Issues
235,brand loyalty
236,Store Staff Service
237,Delivery Address Update
238,Sleep Supplements
239,Delivery Address Update
240,misleading information
241,Login Issues
242,discount appreciation
243,Poor Store Service
244,Order Cancellation
245,Order Delays & Communication Issues
246,BOGO Confusion
247,Skincare Order Status
248,subscription service
249,Card Payment Issues
250,App Crashing
251,Order Issues
252,Order Not Received
253,Product Authenticity Verification
254,Transparency Issues
255,Discrimination
256,Incomplete Orders
257,Order Delays
258,store display
259,Low-Calorie Pasta Nutritional Information
260,Coupon Issues
261,Order Collection Issues
262,Damaged Bottles
263,Order Modification
264,positive recommendations
265,Stress & Anxiety Supplements
266,Value for money
267,click and collect
268,Order Confirmation Issues
269,Skincare Order Status
270,Order Delays & Communication Issues
271,Order Refunds
272,Store stock availability
273,gratitude
274,subscription service
275,Herbal Tea Customer Feedback: Authenticity Inquiry Resolved
276,Store Early Closure
277,communication issues
278,Store Early Closure
279,Coupon Issues
280,Order Refunds
281,Customer Complaints
282,international shipping
283,discount appreciation
284,Customer Appreciation
285,Transparency of Vitamin Tablet Ingredients
286,Discrimination
287,Store Stock Availability Inquiry
288,Poor Store Staff Attitude despite Efficient Click & Collect Service
289,Menopause and Sleep Supplements
290,Order Delays
291,Positive Staff Feedback
292,Customer Complaints
293,Informative Service
294,order tracking
295,Out of Stock Item/Special Order
296,Store Early Closure
297,Product Returns/Replacements
298,Menopause Supplements
299,incomplete orders
300,organic products
301,online ordering
302,BOGO Confusion
303,Damaged Protein Bar Order & Replacement Request
304,Customer Appreciation
305,Packaging Issues
306,Store Staff Feedback
307,Order Collection Issues
308,Order Refund
309,Returning Unopened Items
310,Store Staff Feedback
311,Incorrect Order Fulfillment
312,Out of Stock Issues
313,discrimination
314,delivery issues
315,Damaged Orders
316,order tracking
317,supplement advice
318,Expert Guidance
319,gratitude
320,miscommunication
321,Positive Feedback
322,Pricing and Promotions
323,Positive Feedback
324,Damaged Bottles
325,Expert Guidance
326,Coupon Issues
327,Expiration Date Issue & Replacement
328,Store Early Closure
329,Menopause Supplements
330,Poor Store Service
331,convenient location
332,Delivery Address Update
333,Customer Appreciation
334,Order Cancellation
335,Staff Knowledge
336,Store Early Closure
337,Menopause Supplements
338,Promotions and offers
339,subscription service
340,Positive Staff Feedback
341,transparency issues
342,Stress & Anxiety Supplements
343,Payment Issues
344,Gratitude
345,Product Availability
346,communication issues
347,Store Staff Feedback
348,Accurate Product Information
349,Positive Staff Feedback
350,Product Returns/Replacements
351,Customer Appreciation
352,Damaged Orders
353,Inconsistent Store Staff Service
354,Subscription Change: Omega-3 Supplement Out of Stock
355,Sales Pressure/Unwanted Purchases
356,Rewards Points Issues
357,Pricing and Promotions
358,Misleading Information
359,Order tracking
360,Damaged Orders
361,product selection
362,Menopause Supplements
363,informative service
364,customer service feedback
365,health concerns
366,Order Delays
367,Product Refunds
368,Product Refunds
369,smooth ordering process
370,Damaged Orders
371,BOGO Confusion
372,Order Delays
373,Pricing and Promotions
374,customer value
375,Vitamin Tablet Ingredients
376,Gluten-Free Product Issues
377,Menopause Supplements
378,Ineffective Sleep Supplement
379,Pricing Issues
380,customer value
381,Price comparison
382,international shipping
383,Vitamin Tablet Ingredients
384,discontinued products
385,Damaged Orders
386,Biotin and Hair Growth
387,Coupon Issues
388,Product Refunds
389,Order Delays
390,Customer Feedback
391,Damaged Orders
392,Positive Recommendations
393,Concerns about Parabens in Natural Face Cream
394,Order Refund
395,Customer Appreciation
396,positive recommendations
397,Order Delays & Communication Issues
398,product selection
399,allergy-sensitive products
400,Dosage Advice/Iron Supplements
401,Delivery Address Update
402,Sales Pressure/Unwanted Purchases
403,replacement requests
404,Damaged Bottles
405,informative service
406,nutritional information
407,Incorrect Orders
408,Delayed Complaint Resolution
409,Damaged Orders
410,Store Staff Service
411,Login Issues
412,Allergen Inquiry
413,Sales Pressure/Unwanted Purchases
414,Value for Money
415,Order Issues
416,Authentic Products
417,Customer Appreciation
418,health concerns
419,Positive Staff Feedback
420,Damaged Orders
421,promotion and offers
422,Energy Supplements
423,Stress & Anxiety Supplements
424,store stock availability
425,organic products
426,Order Issues
427,Coupon Issues
428,vegetarian and vegan options
429,follow-up issues
430,Cholesterol management supplements
431,Supplement Advice
432,Discrimination
433,Hair products
434,product selection
435,Shopping Experience
436,Repeat Purchases
437,App Assistance
438,customer preferences
439,Damaged Orders
440,Order Collection Issue due to Store Closure
441,Damaged Orders
442,Positive Staff Feedback
443,app/website usability issues
444,Store Permanent Closure
445,Order Issues
446,Product Recommendations for Sensitive Skin
447,inconsistent policies
448,Gluten-Free Product Issues
449,Damaged Protein Powder Orders
450,follow-up issues
451,Immune Support Supplements
452,online ordering
453,Value for Money
454,Damaged Orders
455,Positive Staff Feedback
456,Positive Staff Feedback
457,Discrimination
458,Order Refunds
459,Damaged Bottles
460,price comparison
461,international shipping
462,Efficient Service
463,product ingredients
464,Customer Complaints
465,Discrimination
466,Order Cancellation
467,Fast Delivery Praise
468,Product Refunds
469,Discontinued Product Replacement
470,Skincare Product Effectiveness
471,Positive Feedback
472,App Crashing
473,Intimidating Behavior
474,in-store issues
475,Positive Staff Feedback
476,BOGO Confusion
477,Order Delays
478,Transparency Issues
479,Sports Nutrition Section Signage
480,Vitamin B12 Benefits
481,Online Ordering
482,Order Delays
483,Sleep Supplements recommended for menopause-related insomnia
484,Smooth Ordering Process and Fast Delivery Praise
485,Sensitive Skin Moisturizer Recommendation
486,Damaged Orders
487,Loyalty Program Enrollment
488,Menopause Supplements
489,Damaged Protein Powder Orders
490,Positive Recommendations
491,Positive Staff Feedback
492,Delivery Issues
493,Store Early Closure
494,Delivery Address Update
495,Delivery Address Update
496,Product Returns/Replacements
497,Store Staff Feedback
498,Positive Feedback & Improvement Suggestion
499,Positive Staff Feedback
500,Negative Staff Feedback and Brand Loyalty
501,Damaged Orders
502,Order Delays
503,allergy-sensitive products
504,App Crashing
505,Customer Complaints
506,Damaged Protein Powder Orders
507,Order Issues
508,Order status updates
509,Skincare Order Status
510,Customer Complaints
511,Sleep Supplements
512,product condition
513,Order Cancellation
514,Supplement Advice
515,Customer Appreciation
516,Incorrect Orders
517,Customer Complaints
518,Store Staff Service
519,subscription service
520,Damaged Orders
521,Product Returns/Replacements
522,Order Collection Issues
523,Supplement Advice
524,Missing Product Contents
525,Voucher Redemption Issues
526,Product Authenticity Verification
527,Order Issues
528,Product Returns/Replacements
529,Beauty Product Ingredient Transparency
530,Expiration Date Issue - Replacement Provided
531,Damaged Bottles
532,Pricing and Promotions
533,Positive Feedback
534,Positive Staff Feedback
535,incomplete orders
536,Order Issues
537,App Account Issues
538,Voucher Redemption Issues
539,Immune System Support Supplements
540,Damaged Protein Powder Orders
541,Voucher Redemption Issues
542,store stock availability
543,Rewards Points Issues
544,Website Issue/Safari Browser Compatibility
545,discount appreciation
546,discount appreciation
547,Order Issues
548,brand loyalty
549,Order Collection Issues
550,Positive Store Feedback
551,Incorrect Order Fulfillment
552,Damaged Orders
553,Discrimination
554,Product Selection - Vegan Protein Bars
555,efficient service
556,Order Issues
557,Store Staff Feedback
558,Order Issues
559,"Efficient Service, Poor In-Store Organization"
560,Order Issues
561,discontinued products
562,hair products
563,Pricing and Promotions
564,Store Staff Feedback
565,transparency issues
566,order not received
567,incorrect orders
568,Energy Supplements
569,Order Collection Issues
570,Smooth Ordering Process
571,Gratitude
572,Pricing and Promotions
573,Efficient Service
574,Order Delays
575,Customer Appreciation
576,Gluten-Free Product Issues
577,Supplement advice
578,Product Authenticity Verification
579,Complaint Resolution
580,Pricing and Promotions
581,Store Feedback
582,Gluten-Free Product Issues
583,Positive Recommendations
584,Delivery Address Update
585,Pricing and Promotions
586,vegetarian and vegan options
587,store display
588,smooth ordering process
589,Damaged Protein Powder Orders
590,Order Issues
591,Damaged Goods - Subscription Replacement
592,Gluten-Free Product Issues
593,shopping experience
594,Damaged Product Replacement
595,vegetarian and vegan options
596,Returning Unopened Items
597,Positive Staff Feedback
598,click and collect
599,Expert Guidance
600,Vegan Multivitamin Gummies Inquiry
601,Biotin Ineffectiveness
602,Click and Collect
603,Order Collection Issues
604,Order Cancellation
605,Card Payment Issues
606,Joint Supplements
607,Pricing and Promotions
608,Pricing and Promotions
609,BOGO Confusion
610,Customer Complaints
611,Pricing and Promotions
612,discount appreciation
613,Order Collection Issues
614,Product Authenticity Verification
615,Product Information
616,Damaged Orders
617,Sales Pressure/Unwanted Purchases
618,app/website usability issues
619,promotion and offers
620,In-store issues
621,Order Delays (International Shipping)
622,Damaged Orders
623,Shipping Method Change Request
624,Delivery Address Update
625,Order Refund due to Pricing Error
626,Poor Store Service
627,Collagen Peptides Dairy-Free Inquiry
628,inconsistent policies
629,Positive Feedback
630,Order Issues
631,Complaint Resolution
632,Positive Staff Feedback
633,Damaged Orders
634,CoQ10 Effectiveness and Energy
635,Probiotic Supplements
636,Informative Service
637,Missing Order/Delivery Issue
638,Damaged Shipment
639,Pricing and Promotions
640,Positive Staff Feedback
641,Herbal Tea Customer Feedback
642,In-Store Customer Experience
643,app/website usability issues
644,App Account Issues
645,inconsistent policies
646,Poor Store Service
647,Click and Collect
648,Ineffective Joint Supplements - Glucosamine and Chondroitin
649,Rewards Points Issues
650,App Account Issues
651,allergy-sensitive products
652,Positive Staff Feedback
653,replacement requests
654,repeat purchases
655,professionalism
656,Hair Products
657,Positive Feedback
658,Delivery Address Update
659,health products
660,Order Delays & Communication Issues
661,Damaged Bottles
662,Positive Recommendations
663,Order Delays & Communication Issues
664,Delivery Address Update
665,Damaged Protein Powder Orders
666,Efficient Service
667,Gluten-Free Product Issues
668,Damaged Goods Replacement
669,Customer Appreciation
670,Coupon Issues
671,Store Staff Feedback
672,Voucher Redemption Issues
673,Turmeric Capsule Orders
674,Damaged Protein Powder Orders
675,Positive Staff Feedback
676,Follow-up issues
677,miscommunication
678,Joint Supplements
679,Order Delays
680,incorrect orders
681,delivery issues
682,Order Delays - Proactive Resolution
683,Incorrect Order Received
684,payment issues
685,Order Issues
686,allergy-sensitive products
687,Damaged Protein Powder Orders
688,Poor Store Service
689,App Account Issues
690,Order Collection Issues
691,Login Issues
692,Positive Product Review: Vitamin D3 and Energy
693,brand loyalty
694,store organization
695,Voucher Redemption Issues
696,Collagen Supplement Effectiveness and Usage
697,Damaged Orders
698,Sleep Supplements
699,Pricing and Promotions
700,organic products
701,Order Refund
702,Pricing and Promotions
703,Expiration Date Issue & Refund
704,customer service feedback
705,Store stock availability
706,Complaint Resolution
707,Protein Powder Recommendations
708,Order Cancellation
709,Order Delays & Communication Issues
710,Rewards Points Issues
711,Payment Issues
712,Order Collection Issues
713,Customer Appreciation
714,staff knowledge
715,Follow-up issues
716,Order Issues
717,subscription service
718,Store Early Closure
719,Customer Complaints
720,Positive Recommendations
721,Delayed Complaint Resolution
722,Order Issues
723,Informative service
724,repeat purchases
725,Order Cancellation
726,Skincare Order Status
727,discount appreciation
728,Delayed Complaint Resolution
729,customer preferences
730,shopping experience
731,Positive Staff Feedback
732,Delayed Complaint Resolution
733,Customer Feedback
734,Customer Complaints
735,App Account Issues
736,Rewards Points Issues
737,Online Ordering - Card Payment Issue
738,Poor Store Service
739,store display
740,Protein Powder Recommendations
741,Rewards Points Issues
742,Pricing and Promotions
743,Protein Powder Recommendations
744,Store Feedback
745,Positive Feedback
746,accurate product information
747,Positive Staff Feedback
748,Positive Feedback
749,Order Issues
750,Efficient Service
751,Product Authenticity Verification
752,Order Delays
753,Order Delays
754,Missing Item in Order / Order Fulfillment Issue
755,Supplement Advice
756,Misleading information
757,Health Concerns
758,accurate product information
759,Positive Staff Feedback
760,Menopause Supplements
761,Health Concerns & Product Refunds
762,health products
763,Pricing Issues
764,Order Delays
765,Coupon Issues
766,Expert Guidance
767,Store Early Closure
768,Sales Pressure/Unwanted Purchases
769,Health Concerns & Weight Management
770,App Account Issues
771,Expiration Date Issues
772,Store Staff Feedback
773,Product Effectiveness Inquiry
774,Order Issues
775,Voucher Redemption Issues
776,promotions and offers
777,Order Issues
778,Positive Staff Feedback
779,Palm Oil Concerns in Nuts and Seeds
780,subscription service
781,Order Confirmation Issues
782,Login Issues
783,Rewards Points Issues
784,Product Refunds
785,Pricing and Promotions
786,store stock availability
787,Product Selection
788,Order Delays
789,Protein Powder Recommendations
790,Damaged Orders
791,Order Delays
792,Sleep Supplements
793,Prompt Service
794,Damaged Orders
795,Product Refunds
796,Customer Appreciation
797,Pricing and Promotions
798,Weight Management Product Inquiry
799,Damaged Bottles
800,delivery issues
801,Order Issues
802,Damaged Orders
803,Customer Appreciation
804,order not received
